start,end,label,country,local_link
1865,1936,Alexander Glazunov,Russia,Alexander%20Glazunov
1566,1613,Don Carlo Gesualdo,Italy,Don%20Carlo%20Gesualdo
1390,1454,John Dunstaple,England,John%20Dunstaple
1425,1497,Johannes Ockeghem,Netherlands,Johannes%20Ockeghem
1460,1512,Antoine Brumel,France,Antoine%20Brumel
1743,1805,Luigi Boccherini,Italy,Luigi%20Boccherini
1778,1837,Johann Nepomuk Hummel,Austria,Johann%20Nepomuk%20Hummel
1932,2021,John Williams,United States,John%20Williams
1858,1944,Ethel Smyth,England,Ethel%20Smyth
1867,1944,Amy Beach,United States,Amy%20Beach
1892,1983,Germaine Tailleferre,France,Germaine%20Tailleferre
1893,1918,Lili Boulanger,France,Lili%20Boulanger
1887,1979,Nadia Boulanger,France,Nadia%20Boulanger
1931,2020,Sofia Gubaidulina,Russia,Sofia%20Gubaidulina
1886,1979,Rebecca Clarke,England,Rebecca%20Clarke
1620,1704,Isabella Leonarda,Italy,Isabella%20Leonarda
1853,1917,Teresa Carreño,Venezuela,Teresa%20Carreño
1954,2020,Judith Weir,Scotland,Judith%20Weir
1913,1994,Witold Lutosławski,Poland,Witold%20Lutosławski
1824,1884,Bedrich Smetana,Czech,Bedrich%20Smetana
